companyId,companyName
1,Pixar
2,TriStar Pictures
3,Teitler Film
4,Interscope Communications
5,Warner Bros. Pictures
6,Lancaster Gate
7,20th Century Fox
8,Sandollar Productions
9,Touchstone Pictures
10,New Regency Productions
11,Regency Enterprises
12,Forward Pass
13,Monarchy Enterprises B.V.
14,The Linson Company
15,Paramount
16,Scott Rudin Productions
17,Mirage Enterprises
18,Constellation Entertainment
19,Worldwide
20,Mont Blanc Entertainment GmbH
21,Walt Disney Pictures
22,Painted Fence Productions
23,Universal Pictures
24,Imperial Entertainment
25,Signature Entertainment
26,SHATTERED PRODUCTIONS
27,United Artists
28,Eon Productions
29,Castle Rock Entertainment
30,Wildwood Enterprises
31,Columbia Pictures
32,Enigma Pictures
33,Amblin Entertainment
34,Amblimation
35,Hollywood Pictures
36,Cinergi Pictures Entertainment
37,Metro-Goldwyn-Mayer
38,Le Studio Canal+
39,Carolco Pictures
40,Laurence Mark Productions
41,Guild
42,Forge
43,RCS Video
44,Beckner/Gorman Productions
45,Cutthroat Productions
46,Tele-Communications Inc.
47,Légende Entreprises
48,Syalis DA
49,De Fina-Cappa
50,Miramax
51,A Band Apart
52,Morgan Creek Productions
53,Jersey Films
54,New Regency Pictures
55,Canal+
56,Silver Pictures
57,Donner/Shuler-Donner Productions
58,Dino De Laurentiis Company
59,Evansgideon/Lazar
60,Caravan Pictures
61,Intial Productions
62,Lumière Pictures
63,New Line Cinema
64,BBC Films
65,CNC
66,PROCIREP
67,Constellation Productions
68,France 3 Cinéma
69,Claudie Ossard Productions
70,Eurimages
71,MEDIA Programme of the European Union
72,TVE
73,Cofimage 5
74,Tele München Fernseh Produktionsgesellschaft (TMG)
75,Club d'Investissement Média
76,Canal+ España
77,Elías Querejeta P. C.
78,Victoires Productions
79,Constellation
80,Studio Image
81,Cofimage 4
82,Ossane
83,Phoenix Images
84,UGC
85,Alpha Films
86,La Sept Cinéma
87,Shanghai Film Studios
88,Via Rosa Productions
89,Don Simpson/Jerry Bruckheimer Films
90,Atlas Entertainment
91,Classico
92,Kennedy Miller Productions
93,Havoc
94,PolyGram Filmed Entertainment
95,Working Title Films
96,Dualstar Productions
97,Rysher Entertainment
98,Orr & Cruickshank
99,Distant Horizon
100,Alpine Pty Limited
101,British Screen
102,First Look Pictures
103,Mayfair Entertainment International
104,Bayly/Paré Productions
105,Underworld Entertainment
106,Threshold Entertainment
107,The Rank Organisation
108,Juno Pix
109,Cecchi Gori Pictures
110,Walt Disney Feature Animation
111,Alliance Communications Corporation
112,Blue Parrot Productions
113,Bad Hat Harry Productions
114,Magnolia Pictures
115,CiBy 2000
116,Egg Pictures
117,Cecchi Gori Group Tiger Cinematografica
118,Blue Dahlia Productions
119,Penta Film
120,Esterno Mediterraneo Film
121,K2 Two
122,The Kennedy/Marshall Company
123,The Charlie Mopic Company
124,Island Pictures
125,Ivory Way Productions
126,3 Arts Entertainment
127,Motion Picture Corporation of America
128,Weasel Productions
129,Renn Productions
130,TF1 Films Production
131,Les Films Flam
132,Dimension Films
133,Los Hooligans Productions
134,Lions Gate Films
135,Trimark Pictures
136,Castleberg Productions
137,Les Films 13
138,TF1
139,The Movie Network
140,Allegro Films
141,Fuji Eight Company Ltd.
142,Fries Film Group
143,Super Ecran
144,Triumph Films
145,ZDF
146,Ciak Filmproduktion
147,Bluehorse Films
148,I.R.I.B. Channel 2
149,Ferdos Films
150,Bergen Film
151,Bard Entertainments
152,NPS Televisie
153,BET Pictures
154,United Image Entertainme
155,Samuel Goldwyn Company
156,Playhouse International Pictures
157,Largo Entertainment
158,Scott Free Productions
159,Joe Wizan/Todd Black
160,NFH Films
161,Woods Entertainment
162,WCG Entertainment Productions
163,The Mark Gordon Company
164,Midwinter Films
165,StudioCanal
166,Les Productions Lazennec
167,Kasso Productions
168,WDR
169,BBC
170,CBC
171,Cinemax Reel Life
172,InPictures
173,Lafayette Films
174,Gracie Films
175,Boyle-Taylor Productions
176,Spelling Films
177,Brillstein-Grey Entertainment
178,Robert Simonds Productions
179,Malpaso Productions
180,Jim Henson Productions
181,The Jim Henson Company
182,Icon Entertainment International
183,The Ladd Company
184,B.H. Finance C.V.
185,Italo/Judeo Productions
186,Bill/Phillips
187,Orange Sky Golden Harvest
188,Pandora Cinema
189,Haut et Court
190,Kinowelt Filmproduktion
